"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.965091875E0,-1.032852173E-2,9.849517822E-2,9.732012177E0,9.732516066E0
2.975107875E0,-1.766326904E-2,9.445358276E-2,9.717791748E0,9.718266817E0
2.985124875E0,-1.691482544E-2,7.559280396E-2,9.766440582E0,9.766747771E0
2.995141875E0,-1.197509766E-2,1.020877075E-1,9.724228363E0,9.724771594E0
3.005157875E0,-1.182540894E-2,8.921447754E-2,9.698182526E0,9.698600072E0
3.015174875E0,-2.035766602E-2,9.535171509E-2,9.724228363E0,9.724717150E0
3.025191875E0,-1.197509766E-2,9.999206543E-2,9.754016418E0,9.754536284E0
3.035207875E0,5.239105225E-3,9.624984741E-2,9.763297119E0,9.763772945E0
3.045224875E0,-5.239105225E-3,1.110690308E-1,9.734856262E0,9.735491268E0
3.055241875E0,-3.891906738E-3,1.070274353E-1,9.778565369E0,9.779151839E0
3.065257875E0,1.017883301E-2,1.206491089E-1,9.799372101E0,9.800120070E0
3.075274875E0,2.993774414E-4,1.118174744E-1,9.767338715E0,9.767978747E0
3.085291875E0,-3.592529297E-3,1.176553345E-1,9.830207977E0,9.830912702E0
3.095307875E0,-2.245330811E-3,1.139131165E-1,9.867031403E0,9.867689189E0
3.105324875E0,1.496887207E-4,1.240919495E-1,9.793085175E0,9.793871353E0
3.115341875E0,-2.065704346E-2,1.191522217E-1,9.825567627E0,9.826311778E0
3.125358875E0,-2.724334717E-2,1.080752563E-1,9.847122803E0,9.847753549E0
3.135374875E0,-1.407073975E-2,1.077758789E-1,9.812694397E0,9.813296335E0
3.145391875E0,-2.439926147E-2,1.351689148E-1,9.810149689E0,9.811111195E0
3.155408875E0,-3.412902832E-2,1.116677856E-1,9.811945953E0,9.812640719E0
3.165424875E0,-4.490661621E-3,9.654922485E-2,9.799671478E0,9.800148111E0
